Station,Date and time, DO , EC , Temp 
สถานีวัดแหลมใต้-บางปะกง,1 ม.ค.2566 06:30, 8.3 , 421 , 19.5 
สถานีวัดแหลมใต้-บางปะกง,1 ม.ค.2566 07:00, 8.4 , 510 , 19.5 
สถานีวัดแหลมใต้-บางปะกง,1 ม.ค.2566 07:30, 8.4 , 478 , 19.4 
สถานีวัดแหลมใต้-บางปะกง,1 ม.ค.2566 08:00, 8.4 , 414 , 20.1 
สถานีวัดแหลมใต้-บางปะกง,1 ม.ค.2566 08:30, 8.4 , 408 , 20.4 
สถานีวัดแหลมใต้-บางปะกง,1 ม.ค.2566 09:00, 8.1 , 429 , 22.5 
สถานีวัดแหลมใต้-บางปะกง,1 ม.ค.2566 09:30, 7.9 , 457 , 23.1 
สถานีวัดแหลมใต้-บางปะกง,1 ม.ค.2566 10:00, 7.9 , 416 , 22.9 
สถานีวัดแหลมใต้-บางปะกง,1 ม.ค.2566 10:30, 7.9 , 553 , 23.3 
สถานีวัดแหลมใต้-บางปะกง,1 ม.ค.2566 11:00, 7.8 , 477 , 23.5 
สถานีวัดแหลมใต้-บางปะกง,1 ม.ค.2566 11:30, 7.7 , 471 , 23.8 
สถานีวัดแหลมใต้-บางปะกง,1 ม.ค.2566 12:00, 7.7 , 673 , 23.8 
สถานีวัดแหลมใต้-บางปะกง,1 ม.ค.2566 12:30, 7.4 , 677 , 24.4 
สถานีวัดแหลมใต้-บางปะกง,1 ม.ค.2566 13:00, 7.3 , 947 , 24.9 
สถานีวัดแหลมใต้-บางปะกง,1 ม.ค.2566 13:30, 7.3 ," 1,096 ", 25.0 
สถานีวัดแหลมใต้-บางปะกง,1 ม.ค.2566 14:00, 7.3 ," 1,370 ", 25.2 
สถานีวัดแหลมใต้-บางปะกง,1 ม.ค.2566 14:30, 7.2 ," 1,603 ", 25.5 
สถานีวัดแหลมใต้-บางปะกง,1 ม.ค.2566 15:00, 7.3 ," 1,494 ", 25.3 
สถานีวัดแหลมใต้-บางปะกง,1 ม.ค.2566 15:30, 7.4 ," 1,710 ", 25.3 
สถานีวัดแหลมใต้-บางปะกง,1 ม.ค.2566 16:00, 7.5 ," 1,633 ", 25.3 
สถานีวัดแหลมใต้-บางปะกง,1 ม.ค.2566 16:30, 7.5 ," 1,604 ", 25.2 
สถานีวัดแหลมใต้-บางปะกง,1 ม.ค.2566 17:00, 7.5 ," 1,553 ", 25.0 
สถานีวัดแหลมใต้-บางปะกง,1 ม.ค.2566 17:30, 7.6 ," 1,109 ", 24.6 
สถานีวัดแหลมใต้-บางปะกง,1 ม.ค.2566 18:00, 7.7 ," 1,002 ", 23.5 
สถานีวัดแหลมใต้-บางปะกง,1 ม.ค.2566 18:30, 7.9 ," 1,001 ", 23.1 
สถานีวัดแหลมใต้-บางปะกง,1 ม.ค.2566 19:00, 8.0 , 907 , 23.0 
สถานีวัดแหลมใต้-บางปะกง,1 ม.ค.2566 19:30, 8.0 , 777 , 22.6 
สถานีวัดแหลมใต้-บางปะกง,1 ม.ค.2566 20:00, 8.2 , 729 , 22.1 
สถานีวัดแหลมใต้-บางปะกง,1 ม.ค.2566 20:30, 8.3 , 488 , 21.1 
สถานีวัดแหลมใต้-บางปะกง,1 ม.ค.2566 21:00, 8.3 , 512 , 21.6 
สถานีวัดแหลมใต้-บางปะกง,1 ม.ค.2566 21:30, 8.4 , 465 , 21.1 
สถานีวัดแหลมใต้-บางปะกง,1 ม.ค.2566 22:00, 8.4 , 581 , 21.3 
สถานีวัดแหลมใต้-บางปะกง,1 ม.ค.2566 22:30, 8.5 , 483 , 20.7 
สถานีวัดแหลมใต้-บางปะกง,1 ม.ค.2566 23:00, 8.5 , 463 , 20.7 
สถานีวัดแหลมใต้-บางปะกง,1 ม.ค.2566 23:30, 8.4 , 492 , 20.7 
สถานีวัดแหลมใต้-บางปะกง,2 ม.ค.2566 00:00, 8.4 , 440 , 20.6 
สถานีวัดแหลมใต้-บางปะกง,2 ม.ค.2566 00:30, 8.4 , 453 , 20.8 
สถานีวัดแหลมใต้-บางปะกง,2 ม.ค.2566 01:00, 8.4 , 419 , 20.6 
สถานีวัดแหลมใต้-บางปะกง,2 ม.ค.2566 01:30, 8.4 , 431 , 20.3 
สถานีวัดแหลมใต้-บางปะกง,2 ม.ค.2566 02:00, 8.4 , 562 , 20.9 
สถานีวัดแหลมใต้-บางปะกง,2 ม.ค.2566 02:30, 8.4 , 486 , 20.7 
สถานีวัดแหลมใต้-บางปะกง,2 ม.ค.2566 03:00, 8.4 , 560 , 21.2 
สถานีวัดแหลมใต้-บางปะกง,2 ม.ค.2566 03:30, 8.3 , 564 , 21.2 
สถานีวัดแหลมใต้-บางปะกง,2 ม.ค.2566 04:00, 8.3 , 575 , 20.8 
สถานีวัดแหลมใต้-บางปะกง,2 ม.ค.2566 04:30, 8.3 , 576 , 20.8 
สถานีวัดแหลมใต้-บางปะกง,2 ม.ค.2566 05:00, 8.2 , 503 , 20.7 
สถานีวัดแหลมใต้-บางปะกง,2 ม.ค.2566 05:30, 8.2 , 588 , 21.1 
สถานีวัดแหลมใต้-บางปะกง,2 ม.ค.2566 06:00, 8.3 , 489 , 20.4 
สถานีวัดแหลมใต้-บางปะกง,2 ม.ค.2566 06:30, 8.2 , 605 , 21.1 
สถานีวัดแหลมใต้-บางปะกง,2 ม.ค.2566 07:00, 8.2 , 497 , 20.5 
สถานีวัดแหลมใต้-บางปะกง,2 ม.ค.2566 07:30, 8.0 , 487 , 21.3 
สถานีวัดแหลมใต้-บางปะกง,2 ม.ค.2566 08:00, 8.0 , 480 , 21.8 
สถานีวัดแหลมใต้-บางปะกง,2 ม.ค.2566 08:30, 8.1 , 610 , 22.2 
สถานีวัดแหลมใต้-บางปะกง,2 ม.ค.2566 09:00, 8.1 , 620 , 22.0 
สถานีวัดแหลมใต้-บางปะกง,2 ม.ค.2566 09:30, 8.1 , 527 , 21.8 
สถานีวัดแหลมใต้-บางปะกง,2 ม.ค.2566 10:00, 8.0 , 590 , 22.3 
สถานีวัดแหลมใต้-บางปะกง,2 ม.ค.2566 10:30, 7.9 , 536 , 23.1 
สถานีวัดแหลมใต้-บางปะกง,2 ม.ค.2566 11:00, 7.8 , 778 , 23.7 
สถานีวัดแหลมใต้-บางปะกง,2 ม.ค.2566 11:30, 7.6 , 767 , 24.1 
สถานีวัดแหลมใต้-บางปะกง,2 ม.ค.2566 12:00, 7.6 , 842 , 25.0 
สถานีวัดแหลมใต้-บางปะกง,2 ม.ค.2566 12:30, 7.6 ," 1,027 ", 25.2 
สถานีวัดแหลมใต้-บางปะกง,2 ม.ค.2566 13:00, 7.5 ," 1,196 ", 25.5 
สถานีวัดแหลมใต้-บางปะกง,2 ม.ค.2566 13:30, 7.4 ," 1,364 ", 25.2 
สถานีวัดแหลมใต้-บางปะกง,2 ม.ค.2566 14:00, 7.7 ," 1,690 ", 25.1 
สถานีวัดแหลมใต้-บางปะกง,2 ม.ค.2566 14:30, 7.4 ," 2,344 ", 25.1 
สถานีวัดแหลมใต้-บางปะกง,2 ม.ค.2566 15:00, 7.5 ," 2,096 ", 24.7 
สถานีวัดแหลมใต้-บางปะกง,2 ม.ค.2566 15:30, 7.5 ," 2,053 ", 24.8 
สถานีวัดแหลมใต้-บางปะกง,2 ม.ค.2566 16:00, 7.5 ," 2,204 ", 24.7 
สถานีวัดแหลมใต้-บางปะกง,2 ม.ค.2566 16:30, 7.6 ," 1,965 ", 24.4 
สถานีวัดแหลมใต้-บางปะกง,2 ม.ค.2566 17:00, 7.6 ," 1,944 ", 24.0 
สถานีวัดแหลมใต้-บางปะกง,2 ม.ค.2566 17:30, 7.7 ," 2,187 ", 24.0 
สถานีวัดแหลมใต้-บางปะกง,2 ม.ค.2566 18:00, 7.7 ," 1,648 ", 23.7 
สถานีวัดแหลมใต้-บางปะกง,2 ม.ค.2566 18:30, 7.7 ," 1,318 ", 23.7 
สถานีวัดแหลมใต้-บางปะกง,2 ม.ค.2566 19:00, 7.7 ," 1,070 ", 23.6 
สถานีวัดแหลมใต้-บางปะกง,2 ม.ค.2566 19:30, 7.8 , 867 , 23.2 
สถานีวัดแหลมใต้-บางปะกง,2 ม.ค.2566 20:00, 7.9 , 873 , 23.0 
สถานีวัดแหลมใต้-บางปะกง,2 ม.ค.2566 20:30, 8.0 , 826 , 22.9 
สถานีวัดแหลมใต้-บางปะกง,2 ม.ค.2566 21:00, 8.1 , 754 , 22.6 
สถานีวัดแหลมใต้-บางปะกง,2 ม.ค.2566 21:30, 8.1 , 683 , 22.5 
สถานีวัดแหลมใต้-บางปะกง,2 ม.ค.2566 22:00, 8.2 , 633 , 22.2 
สถานีวัดแหลมใต้-บางปะกง,2 ม.ค.2566 22:30, 8.3 , 628 , 22.2 
สถานีวัดแหลมใต้-บางปะกง,2 ม.ค.2566 23:00, 8.3 , 617 , 22.0 
สถานีวัดแหลมใต้-บางปะกง,2 ม.ค.2566 23:30, 8.3 , 602 , 22.0 
สถานีวัดแหลมใต้-บางปะกง,3 ม.ค.2566 00:00, 8.3 , 590 , 21.9 
สถานีวัดแหลมใต้-บางปะกง,3 ม.ค.2566 00:30, 8.3 , 586 , 21.7 
สถานีวัดแหลมใต้-บางปะกง,3 ม.ค.2566 01:00, 8.3 , 588 , 21.7 
สถานีวัดแหลมใต้-บางปะกง,3 ม.ค.2566 01:30, 8.3 , 585 , 21.6 
สถานีวัดแหลมใต้-บางปะกง,3 ม.ค.2566 02:00, 8.3 , 587 , 21.4 
สถานีวัดแหลมใต้-บางปะกง,3 ม.ค.2566 02:30, 8.3 , 584 , 21.3 
สถานีวัดแหลมใต้-บางปะกง,3 ม.ค.2566 03:00, 8.3 , 479 , 21.0 
สถานีวัดแหลมใต้-บางปะกง,3 ม.ค.2566 03:30, 8.2 , 489 , 21.0 
สถานีวัดแหลมใต้-บางปะกง,3 ม.ค.2566 04:00, 8.2 , 479 , 21.0 
สถานีวัดแหลมใต้-บางปะกง,3 ม.ค.2566 04:30, 8.2 , 608 , 21.4 
สถานีวัดแหลมใต้-บางปะกง,3 ม.ค.2566 05:00, 8.1 , 623 , 21.2 
สถานีวัดแหลมใต้-บางปะกง,3 ม.ค.2566 05:30, 8.2 , 648 , 21.2 
สถานีวัดแหลมใต้-บางปะกง,3 ม.ค.2566 06:00, 8.2 , 699 , 21.1 
สถานีวัดแหลมใต้-บางปะกง,3 ม.ค.2566 06:30, 8.1 , 736 , 21.1 
สถานีวัดแหลมใต้-บางปะกง,3 ม.ค.2566 07:00, 8.1 , 839 , 21.1 
สถานีวัดแหลมใต้-บางปะกง,3 ม.ค.2566 07:30, 8.0 , 973 , 21.4 
สถานีวัดแหลมใต้-บางปะกง,3 ม.ค.2566 08:00, 7.9 , 795 , 21.7 
สถานีวัดแหลมใต้-บางปะกง,3 ม.ค.2566 08:30, 7.9 ," 1,116 ", 22.2 
สถานีวัดแหลมใต้-บางปะกง,3 ม.ค.2566 09:00, 7.5 ," 1,139 ", 24.1 
สถานีวัดแหลมใต้-บางปะกง,3 ม.ค.2566 09:30, 7.5 ," 1,157 ", 24.8 
สถานีวัดแหลมใต้-บางปะกง,3 ม.ค.2566 10:00, 7.6 ," 1,473 ", 24.8 
สถานีวัดแหลมใต้-บางปะกง,3 ม.ค.2566 10:30, 7.6 ," 1,574 ", 24.9 
สถานีวัดแหลมใต้-บางปะกง,3 ม.ค.2566 11:00, 7.5 ," 1,398 ", 25.4 
สถานีวัดแหลมใต้-บางปะกง,3 ม.ค.2566 11:30, 7.6 ," 1,836 ", 25.2 
สถานีวัดแหลมใต้-บางปะกง,3 ม.ค.2566 12:00, 7.5 ," 1,996 ", 25.6 
สถานีวัดแหลมใต้-บางปะกง,3 ม.ค.2566 12:30, 7.4 ," 2,145 ", 25.7 
สถานีวัดแหลมใต้-บางปะกง,3 ม.ค.2566 13:00, 7.5 ," 2,061 ", 26.0 
สถานีวัดแหลมใต้-บางปะกง,3 ม.ค.2566 13:30, 7.4 ," 2,114 ", 26.3 
สถานีวัดแหลมใต้-บางปะกง,3 ม.ค.2566 14:00, 7.4 ," 2,163 ", 26.8 
สถานีวัดแหลมใต้-บางปะกง,3 ม.ค.2566 14:30, 7.4 ," 2,592 ", 27.5 
สถานีวัดแหลมใต้-บางปะกง,3 ม.ค.2566 15:00, 7.3 ," 2,201 ", 27.1 
สถานีวัดแหลมใต้-บางปะกง,3 ม.ค.2566 15:30, 7.2 ," 2,707 ", 26.8 
สถานีวัดแหลมใต้-บางปะกง,3 ม.ค.2566 16:00, 7.3 ," 2,674 ", 26.2 
สถานีวัดแหลมใต้-บางปะกง,3 ม.ค.2566 16:30, 7.5 ," 3,219 ", 25.5 
สถานีวัดแหลมใต้-บางปะกง,3 ม.ค.2566 17:00, 7.5 ," 3,120 ", 25.1 
สถานีวัดแหลมใต้-บางปะกง,3 ม.ค.2566 17:30, 7.6 ," 3,216 ", 25.0 
สถานีวัดแหลมใต้-บางปะกง,3 ม.ค.2566 18:00, 7.7 ," 2,208 ", 24.5 
สถานีวัดแหลมใต้-บางปะกง,3 ม.ค.2566 18:30, 7.6 ," 2,090 ", 24.3 
สถานีวัดแหลมใต้-บางปะกง,3 ม.ค.2566 19:00, 7.7 ," 2,127 ", 24.1 
สถานีวัดแหลมใต้-บางปะกง,3 ม.ค.2566 19:30, 7.7 ," 1,704 ", 24.2 
สถานีวัดแหลมใต้-บางปะกง,3 ม.ค.2566 20:00, 7.8 ," 1,421 ", 24.0 
สถานีวัดแหลมใต้-บางปะกง,3 ม.ค.2566 20:30, 7.9 ," 1,133 ", 23.6 
สถานีวัดแหลมใต้-บางปะกง,3 ม.ค.2566 21:00, 8.1 , 993 , 23.2 
สถานีวัดแหลมใต้-บางปะกง,3 ม.ค.2566 21:30, 8.1 , 843 , 23.3 
สถานีวัดแหลมใต้-บางปะกง,3 ม.ค.2566 22:00, 8.2 , 774 , 23.0 
สถานีวัดแหลมใต้-บางปะกง,3 ม.ค.2566 22:30, 8.2 , 727 , 22.8 
สถานีวัดแหลมใต้-บางปะกง,3 ม.ค.2566 23:00, 8.2 , 679 , 22.9 
สถานีวัดแหลมใต้-บางปะกง,3 ม.ค.2566 23:30, 8.2 , 656 , 22.7 
สถานีวัดแหลมใต้-บางปะกง,4 ม.ค.2566 00:00, 8.3 , 634 , 22.7 
สถานีวัดแหลมใต้-บางปะกง,4 ม.ค.2566 00:30, 8.2 , 616 , 22.8 
สถานีวัดแหลมใต้-บางปะกง,4 ม.ค.2566 01:00, 8.3 , 604 , 22.7 
สถานีวัดแหลมใต้-บางปะกง,4 ม.ค.2566 01:30, 8.3 , 592 , 22.7 
สถานีวัดแหลมใต้-บางปะกง,4 ม.ค.2566 02:00, 8.3 , 528 , 22.5 
สถานีวัดแหลมใต้-บางปะกง,4 ม.ค.2566 02:30, 8.3 , 593 , 22.5 
สถานีวัดแหลมใต้-บางปะกง,4 ม.ค.2566 03:00, 8.1 , 597 , 22.6 
สถานีวัดแหลมใต้-บางปะกง,4 ม.ค.2566 03:30, 8.1 , 597 , 22.5 
สถานีวัดแหลมใต้-บางปะกง,4 ม.ค.2566 04:00, 8.2 , 478 , 22.1 
สถานีวัดแหลมใต้-บางปะกง,4 ม.ค.2566 04:30, 8.1 , 635 , 22.4 
สถานีวัดแหลมใต้-บางปะกง,4 ม.ค.2566 05:00, 8.1 , 650 , 22.3 
สถานีวัดแหลมใต้-บางปะกง,4 ม.ค.2566 05:30, 8.0 , 673 , 22.3 
สถานีวัดแหลมใต้-บางปะกง,4 ม.ค.2566 06:00, 8.0 , 738 , 22.2 
สถานีวัดแหลมใต้-บางปะกง,4 ม.ค.2566 06:30, 7.9 , 692 , 22.1 
สถานีวัดแหลมใต้-บางปะกง,4 ม.ค.2566 07:00, 7.8 , 943 , 22.5 
สถานีวัดแหลมใต้-บางปะกง,4 ม.ค.2566 07:30, 7.6 ," 1,040 ", 22.6 
สถานีวัดแหลมใต้-บางปะกง,4 ม.ค.2566 08:00, 7.6 ," 1,422 ", 22.9 
สถานีวัดแหลมใต้-บางปะกง,4 ม.ค.2566 08:30, 7.6 ," 1,832 ", 22.8 
สถานีวัดแหลมใต้-บางปะกง,4 ม.ค.2566 09:00, 7.6 ," 1,684 ", 23.0 
สถานีวัดแหลมใต้-บางปะกง,4 ม.ค.2566 09:30, 7.4 ," 2,003 ", 24.0 
สถานีวัดแหลมใต้-บางปะกง,4 ม.ค.2566 10:00, 7.4 ," 2,061 ", 25.1 
สถานีวัดแหลมใต้-บางปะกง,4 ม.ค.2566 10:30, 7.3 ," 2,248 ", 25.5 
สถานีวัดแหลมใต้-บางปะกง,4 ม.ค.2566 11:00, 7.4 ," 2,925 ", 25.6 
สถานีวัดแหลมใต้-บางปะกง,4 ม.ค.2566 11:30, 7.4 ," 2,766 ", 25.6 
สถานีวัดแหลมใต้-บางปะกง,4 ม.ค.2566 12:00, 7.5 ," 2,566 ", 25.7 
สถานีวัดแหลมใต้-บางปะกง,4 ม.ค.2566 12:30, 7.3 ," 2,801 ", 25.9 
สถานีวัดแหลมใต้-บางปะกง,4 ม.ค.2566 13:00, 7.4 ," 2,597 ", 26.4 
