วันที่,เวลา,ระดับน้ำ
,,(ม.)
20/08/2568,20:44:00,3.87
20/08/2568,20:34:00,3.9
20/08/2568,20:24:00,3.92
20/08/2568,20:14:00,3.94
20/08/2568,20:05:00,3.93
20/08/2568,19:55:00,3.95
20/08/2568,19:45:00,3.96
20/08/2568,19:35:00,3.97
20/08/2568,19:25:00,4
20/08/2568,19:15:00,4.02
20/08/2568,19:05:00,4.04
20/08/2568,18:56:00,4.06
20/08/2568,18:46:00,4.07
20/08/2568,18:36:00,4.08
20/08/2568,18:26:00,4.07
20/08/2568,18:16:00,4.07
20/08/2568,18:06:00,4.07
20/08/2568,17:57:00,4.04
20/08/2568,17:47:00,4.04
20/08/2568,17:37:00,4.06
20/08/2568,17:27:00,4.07
20/08/2568,17:17:00,4.04
20/08/2568,17:07:00,4.03
20/08/2568,16:57:00,3.99
20/08/2568,16:48:00,3.94
20/08/2568,16:38:00,3.9
20/08/2568,16:28:00,3.86
20/08/2568,16:18:00,3.81
20/08/2568,16:08:00,3.79
20/08/2568,15:58:00,3.75
20/08/2568,15:48:00,3.69
20/08/2568,15:39:00,3.63
20/08/2568,15:29:00,3.59
20/08/2568,15:19:00,3.53
20/08/2568,15:09:00,3.49
20/08/2568,14:59:00,3.45
20/08/2568,14:49:00,3.37
20/08/2568,14:39:00,3.29
20/08/2568,14:30:00,3.21
20/08/2568,14:20:00,3.13
20/08/2568,14:10:00,3.05
20/08/2568,14:00:00,2.96
20/08/2568,13:50:00,2.9
20/08/2568,13:40:00,2.83
20/08/2568,13:30:00,2.76
20/08/2568,13:21:00,2.67
20/08/2568,13:11:00,2.57
20/08/2568,13:01:00,2.48
20/08/2568,12:51:00,2.41
20/08/2568,12:41:00,2.33
20/08/2568,12:31:00,2.26
20/08/2568,12:22:00,2.19
20/08/2568,12:12:00,2.11
20/08/2568,12:02:00,2.03
20/08/2568,11:52:00,1.95
20/08/2568,11:42:00,1.87
20/08/2568,11:32:00,1.8
20/08/2568,11:22:00,1.74
20/08/2568,11:13:00,1.69
20/08/2568,11:03:00,1.64
20/08/2568,10:53:00,1.58
20/08/2568,10:43:00,1.55
20/08/2568,10:33:00,1.52
20/08/2568,10:23:00,1.48
20/08/2568,10:14:00,1.44
20/08/2568,10:04:00,1.42
20/08/2568,09:54:00,1.38
20/08/2568,09:44:00,1.34
20/08/2568,09:34:00,1.31
20/08/2568,09:24:00,1.28
20/08/2568,09:14:00,1.26
20/08/2568,09:05:00,1.25
20/08/2568,08:55:00,1.25
20/08/2568,08:45:00,1.25
20/08/2568,08:35:00,1.25
20/08/2568,08:25:00,1.27
20/08/2568,08:15:00,1.29
20/08/2568,08:05:00,1.31
20/08/2568,07:56:00,1.33
20/08/2568,07:46:00,1.34
20/08/2568,07:36:00,1.36
20/08/2568,07:26:00,1.38
20/08/2568,07:16:00,1.39
20/08/2568,07:06:00,1.41
20/08/2568,06:57:00,1.43
20/08/2568,06:47:00,1.46
20/08/2568,06:37:00,1.49
20/08/2568,06:27:00,1.51
20/08/2568,06:17:00,1.55
20/08/2568,06:07:00,1.58
20/08/2568,05:58:00,1.62
20/08/2568,05:48:00,1.66
20/08/2568,05:38:00,1.71
20/08/2568,05:28:00,1.76
20/08/2568,05:18:00,1.81
20/08/2568,05:08:00,1.86
20/08/2568,04:58:00,1.92
20/08/2568,04:49:00,1.95
20/08/2568,04:39:00,1.98
20/08/2568,04:29:00,2.01
20/08/2568,04:19:00,2.05
20/08/2568,04:09:00,2.09
20/08/2568,03:59:00,2.14
20/08/2568,03:50:00,2.19
20/08/2568,03:40:00,2.23
20/08/2568,03:30:00,2.29
20/08/2568,03:20:00,2.35
20/08/2568,03:10:00,2.4
20/08/2568,03:00:00,2.45
20/08/2568,02:51:00,2.51
20/08/2568,02:41:00,2.55
20/08/2568,02:31:00,2.59
20/08/2568,02:21:00,2.61
20/08/2568,02:11:00,2.64
20/08/2568,02:02:00,2.67
20/08/2568,01:52:00,2.72
20/08/2568,01:42:00,2.77
20/08/2568,01:32:00,2.83
20/08/2568,01:22:00,2.87
20/08/2568,01:12:00,2.9
20/08/2568,01:02:00,2.94
20/08/2568,00:53:00,2.98
20/08/2568,00:43:00,3.03
20/08/2568,00:33:00,3.08
20/08/2568,00:23:00,3.12
20/08/2568,00:13:00,3.16
20/08/2568,00:03:00,3.17
