??????,????,????????
,,(?.)
31/07/2568,12:00,2.62
31/07/2568,11:00,2.87
31/07/2568,10:00,2.91
31/07/2568,9:00,3
31/07/2568,8:00,2.76
31/07/2568,7:00,2.6
31/07/2568,6:00,2.21
31/07/2568,5:00,2.04
31/07/2568,4:00,2.02
31/07/2568,3:00,2.16
31/07/2568,2:00,2.38
31/07/2568,1:00,2.73
31/07/2568,0:00,3.17
30/07/2568,23:00,3.48
30/07/2568,22:00,3.71
30/07/2568,21:00,3.72
30/07/2568,20:00,3.57
30/07/2568,19:00,3.27
30/07/2568,18:00,2.79
30/07/2568,17:00,2.31
30/07/2568,16:00,1.97
30/07/2568,15:00,1.74
30/07/2568,14:00,1.86
30/07/2568,13:00,2.08
30/07/2568,12:00,2.48
30/07/2568,11:00,2.76
30/07/2568,10:00,3.09
30/07/2568,9:00,3.26
30/07/2568,8:00,3.3
30/07/2568,7:00,3.16
30/07/2568,6:00,2.85
30/07/2568,5:00,2.5
30/07/2568,4:00,2.37
30/07/2568,3:00,2.36
30/07/2568,2:00,2.55
30/07/2568,1:00,2.85
30/07/2568,0:00,3.26
29/07/2568,23:00,3.59
29/07/2568,22:00,3.92
29/07/2568,21:00,3.99
29/07/2568,20:00,3.91
29/07/2568,19:00,3.61
29/07/2568,18:00,3.01
29/07/2568,17:00,2.4
29/07/2568,16:00,1.89
29/07/2568,15:00,1.53
29/07/2568,14:00,1.54
29/07/2568,13:00,1.75
29/07/2568,12:00,2.08
29/07/2568,11:00,2.46
29/07/2568,10:00,2.86
29/07/2568,9:00,3.14
29/07/2568,8:00,3.41
29/07/2568,7:00,3.37
29/07/2568,6:00,3.22
29/07/2568,5:00,2.8
29/07/2568,4:00,2.71
29/07/2568,3:00,2.64
29/07/2568,2:00,2.68
29/07/2568,1:00,2.83
29/07/2568,0:00,3.28
28/07/2568,23:00,3.72
28/07/2568,22:00,3.96
28/07/2568,21:00,4.07
28/07/2568,20:00,3.98
28/07/2568,19:00,3.69
28/07/2568,18:00,3.19
28/07/2568,17:00,2.65
28/07/2568,16:00,1.92
28/07/2568,15:00,1.39
28/07/2568,14:00,1.2
28/07/2568,13:00,1.38
28/07/2568,12:00,1.59
28/07/2568,11:00,1.96
28/07/2568,10:00,2.28
28/07/2568,9:00,2.71
28/07/2568,8:00,3.06
28/07/2568,7:00,3.21
28/07/2568,6:00,3.19
28/07/2568,5:00,3.05
28/07/2568,4:00,2.87
28/07/2568,3:00,2.71
28/07/2568,2:00,2.73
28/07/2568,1:00,2.95
28/07/2568,0:00,3.2
27/07/2568,23:00,3.53
27/07/2568,22:00,3.83
27/07/2568,21:00,3.96
27/07/2568,20:00,3.9
27/07/2568,19:00,3.64
27/07/2568,18:00,3.12
27/07/2568,17:00,2.52
27/07/2568,16:00,1.87
27/07/2568,15:00,1.29
27/07/2568,14:00,1.09
27/07/2568,13:00,1.23
27/07/2568,12:00,1.43
27/07/2568,11:00,1.69
27/07/2568,10:00,2.06
27/07/2568,9:00,2.41
27/07/2568,8:00,2.82
27/07/2568,7:00,3.12
27/07/2568,6:00,3.2
27/07/2568,5:00,3.18
27/07/2568,4:00,3.03
27/07/2568,3:00,2.94
27/07/2568,2:00,2.96
27/07/2568,1:00,3.04
27/07/2568,0:00,3.29
26/07/2568,23:00,3.65
26/07/2568,22:00,3.97
26/07/2568,21:00,4.15
26/07/2568,20:00,4.14
26/07/2568,19:00,3.95
26/07/2568,18:00,3.53
26/07/2568,17:00,2.98
26/07/2568,16:00,2.24
26/07/2568,15:00,1.62
26/07/2568,14:00,1.15
26/07/2568,13:00,1.14
26/07/2568,12:00,1.27
26/07/2568,11:00,1.48
26/07/2568,10:00,1.77
26/07/2568,9:00,2.1
26/07/2568,8:00,2.46
26/07/2568,7:00,2.92
26/07/2568,6:00,3.17
26/07/2568,5:00,3.3
26/07/2568,4:00,3.28
26/07/2568,3:00,3.17
26/07/2568,2:00,3.18
26/07/2568,1:00,3.24
26/07/2568,0:00,3.39
25/07/2568,23:00,3.63
25/07/2568,22:00,3.93
25/07/2568,21:00,4.21
25/07/2568,20:00,4.25
25/07/2568,19:00,4.05
25/07/2568,18:00,3.78
25/07/2568,17:00,3.31
25/07/2568,16:00,2.65
25/07/2568,15:00,1.87
25/07/2568,14:00,1.27
25/07/2568,13:00,1
25/07/2568,12:00,1.06
25/07/2568,11:00,1.21
25/07/2568,10:00,1.44
25/07/2568,9:00,1.71
25/07/2568,8:00,2.03
25/07/2568,7:00,2.41
25/07/2568,6:00,2.78
25/07/2568,5:00,3.03
25/07/2568,4:00,3.16
25/07/2568,3:00,3.15
25/07/2568,2:00,3.13
25/07/2568,1:00,3.19
25/07/2568,0:00,3.31
24/07/2568,23:00,3.52
24/07/2568,22:00,3.74
24/07/2568,21:00,3.98
24/07/2568,20:00,4.15
24/07/2568,19:00,4.11
24/07/2568,18:00,3.91
24/07/2568,17:00,3.61
24/07/2568,16:00,3.12
24/07/2568,15:00,2.51
24/07/2568,14:00,1.85
24/07/2568,13:00,1.35
24/07/2568,12:00,1.13
24/07/2568,11:00,1.15
24/07/2568,10:00,1.28
24/07/2568,9:00,1.45
24/07/2568,8:00,1.72
24/07/2568,7:00,2.07
24/07/2568,6:00,2.39
24/07/2568,5:00,2.74
24/07/2568,4:00,2.99
24/07/2568,3:00,3.2
24/07/2568,2:00,3.3
24/07/2568,1:00,3.37
24/07/2568,0:00,3.47
23/07/2568,23:00,3.58
23/07/2568,22:00,3.8
23/07/2568,21:00,3.92
23/07/2568,20:00,4.16
23/07/2568,19:00,4.24
23/07/2568,18:00,4.16
23/07/2568,17:00,3.84
23/07/2568,16:00,3.55
23/07/2568,15:00,3.12
23/07/2568,14:00,2.56
23/07/2568,13:00,1.98
23/07/2568,12:00,1.58
23/07/2568,11:00,1.33
23/07/2568,10:00,1.21
23/07/2568,9:00,1.31
23/07/2568,8:00,1.5
23/07/2568,7:00,1.76
23/07/2568,6:00,2.07
23/07/2568,5:00,2.36
23/07/2568,4:00,2.68
23/07/2568,3:00,3.01
23/07/2568,2:00,3.32
23/07/2568,1:00,3.33
23/07/2568,0:00,3.39
22/07/2568,23:00,3.46
22/07/2568,22:00,3.62
22/07/2568,21:00,3.72
22/07/2568,20:00,3.85
22/07/2568,19:00,4.03
22/07/2568,18:00,4.01
22/07/2568,17:00,4.04
22/07/2568,16:00,3.79
22/07/2568,15:00,3.43
22/07/2568,14:00,3.01
22/07/2568,13:00,2.35
22/07/2568,12:00,1.83
22/07/2568,11:00,1.37
22/07/2568,10:00,1.24
22/07/2568,9:00,1.2
22/07/2568,8:00,1.33
22/07/2568,7:00,1.54
22/07/2568,6:00,1.78
22/07/2568,5:00,2.02
22/07/2568,4:00,2.41
22/07/2568,3:00,2.82
22/07/2568,2:00,2.94
22/07/2568,1:00,3.17
22/07/2568,0:00,3.18
21/07/2568,23:00,3.36
21/07/2568,22:00,3.39
21/07/2568,21:00,3.39
21/07/2568,20:00,3.5
21/07/2568,19:00,3.59
21/07/2568,18:00,3.62
21/07/2568,17:00,3.49
21/07/2568,16:00,3.45
21/07/2568,15:00,3.35
21/07/2568,14:00,3.19
21/07/2568,13:00,2.91
21/07/2568,12:00,2.54
21/07/2568,11:00,2.06
21/07/2568,10:00,1.76
21/07/2568,9:00,1.51
21/07/2568,8:00,1.37
21/07/2568,7:00,1.35
21/07/2568,6:00,1.49
21/07/2568,5:00,1.72
21/07/2568,4:00,2.1
21/07/2568,3:00,2.36
21/07/2568,2:00,2.72
21/07/2568,1:00,2.86
21/07/2568,0:00,3.45
20/07/2568,23:00,3.49
20/07/2568,22:00,3.58
20/07/2568,21:00,3.31
20/07/2568,20:00,3.56
20/07/2568,19:00,3.46
20/07/2568,18:00,3.43
20/07/2568,17:00,3.23
20/07/2568,16:00,3.43
20/07/2568,15:00,3.24
20/07/2568,14:00,3.41
20/07/2568,13:00,3.05
20/07/2568,12:00,2.99
20/07/2568,11:00,2.67
20/07/2568,10:00,2.25
20/07/2568,9:00,1.95
20/07/2568,8:00,1.72
20/07/2568,7:00,1.7
20/07/2568,6:00,1.66
20/07/2568,5:00,1.77
20/07/2568,4:00,2.05
20/07/2568,3:00,2.35
20/07/2568,2:00,2.78
20/07/2568,1:00,3.32
20/07/2568,0:00,3.33
19/07/2568,23:00,3.76
19/07/2568,22:00,3.81
19/07/2568,21:00,3.6
19/07/2568,20:00,3.51
19/07/2568,19:00,3.35
19/07/2568,18:00,2.91
19/07/2568,17:00,3.02
19/07/2568,16:00,2.89
19/07/2568,15:00,2.92
19/07/2568,14:00,3.05
19/07/2568,13:00,3.11
19/07/2568,12:00,3.01
19/07/2568,11:00,2.92
19/07/2568,10:00,2.74
19/07/2568,9:00,2.36
19/07/2568,8:00,2.07
19/07/2568,7:00,1.75
19/07/2568,6:00,1.58
19/07/2568,5:00,1.69
19/07/2568,4:00,1.96
19/07/2568,3:00,2.31
19/07/2568,2:00,2.74
19/07/2568,1:00,3.2
19/07/2568,0:00,3.46
18/07/2568,23:00,3.78
18/07/2568,22:00,3.87
18/07/2568,21:00,3.67
18/07/2568,20:00,3.41
18/07/2568,19:00,3.02
18/07/2568,18:00,2.67
18/07/2568,17:00,2.37
18/07/2568,16:00,2.06
18/07/2568,15:00,2.11
18/07/2568,14:00,2.41
18/07/2568,13:00,2.59
18/07/2568,12:00,2.85
18/07/2568,11:00,3.01
18/07/2568,10:00,3.15
18/07/2568,9:00,3.05
18/07/2568,8:00,2.73
18/07/2568,7:00,2.37
18/07/2568,6:00,1.99
18/07/2568,5:00,2.02
18/07/2568,4:00,2.07
18/07/2568,3:00,2.32
18/07/2568,2:00,2.68
18/07/2568,1:00,3.1
18/07/2568,0:00,3.53
17/07/2568,23:00,3.76
17/07/2568,22:00,3.85
17/07/2568,21:00,3.64
17/07/2568,20:00,3.57
17/07/2568,19:00,2.88
17/07/2568,18:00,2.38
17/07/2568,17:00,1.91
17/07/2568,16:00,1.63
17/07/2568,15:00,1.67
17/07/2568,14:00,1.93
17/07/2568,13:00,2.28
17/07/2568,12:00,2.58
17/07/2568,11:00,2.89
17/07/2568,10:00,3.05
17/07/2568,9:00,3.21
17/07/2568,8:00,3.01
17/07/2568,7:00,2.69
17/07/2568,6:00,2.41
17/07/2568,5:00,2.23
17/07/2568,4:00,2.23
17/07/2568,3:00,2.36
17/07/2568,2:00,2.54
17/07/2568,1:00,3.08
17/07/2568,0:00,3.59
16/07/2568,23:00,3.96
16/07/2568,22:00,4.08
16/07/2568,21:00,3.99
16/07/2568,20:00,3.71
16/07/2568,19:00,3.21
16/07/2568,18:00,2.56
16/07/2568,17:00,1.99
16/07/2568,16:00,1.57
16/07/2568,15:00,1.23
16/07/2568,14:00,1.37
16/07/2568,13:00,1.63
16/07/2568,12:00,2
16/07/2568,11:00,2.4
16/07/2568,10:00,2.72
16/07/2568,9:00,3.03
16/07/2568,8:00,3.09
16/07/2568,7:00,3.06
16/07/2568,6:00,2.75
16/07/2568,5:00,2.59
16/07/2568,4:00,2.64
16/07/2568,3:00,2.68
16/07/2568,2:00,2.86
16/07/2568,1:00,3.18
16/07/2568,0:00,3.46
15/07/2568,23:00,3.89
15/07/2568,22:00,4.09
15/07/2568,21:00,3.96
15/07/2568,20:00,3.76
15/07/2568,19:00,3.32
15/07/2568,18:00,2.65
15/07/2568,17:00,1.94
15/07/2568,16:00,1.37
15/07/2568,15:00,1.13
15/07/2568,14:00,1.24
15/07/2568,13:00,1.43
15/07/2568,12:00,1.74
15/07/2568,11:00,2.15
15/07/2568,10:00,2.5
15/07/2568,9:00,2.87
15/07/2568,8:00,3.13
15/07/2568,7:00,3.29
15/07/2568,6:00,3.11
15/07/2568,5:00,2.98
15/07/2568,4:00,2.79
15/07/2568,3:00,2.92
15/07/2568,2:00,2.97
15/07/2568,1:00,3.13
15/07/2568,0:00,3.44
14/07/2568,23:00,3.81
14/07/2568,22:00,4.1
14/07/2568,21:00,4.04
14/07/2568,20:00,3.75
14/07/2568,19:00,3.68
14/07/2568,18:00,2.98
14/07/2568,17:00,2.29
14/07/2568,16:00,1.58
14/07/2568,15:00,1.14
