à¸§à¸±à¸à¸à¸µà¹,à¹à¸§à¸¥à¸²,à¸£à¸°à¸à¸±à¸à¸à¹à¸³
,,(à¸¡.)
01/07/2567,23:00,3.28
01/07/2567,22:00,3.05
01/07/2567,21:00,2.89
01/07/2567,20:00,2.64
01/07/2567,19:00,2.54
01/07/2567,18:00,2.46
01/07/2567,17:00,2.59
01/07/2567,16:00,2.72
01/07/2567,15:00,2.78
01/07/2567,14:00,2.77
01/07/2567,13:00,2.72
01/07/2567,12:00,2.46
01/07/2567,11:00,2.2
01/07/2567,10:00,1.96
01/07/2567,9:00,1.67
01/07/2567,8:00,1.51
01/07/2567,7:00,1.58
01/07/2567,6:00,1.73
01/07/2567,5:00,2.03
01/07/2567,4:00,2.31
01/07/2567,3:00,2.69
01/07/2567,2:00,3.18
01/07/2567,1:00,3.48
01/07/2567,0:00,3.56
30/06/2567,23:00,3.7
30/06/2567,22:00,3.24
30/06/2567,21:00,3.36
30/06/2567,20:00,2.98
30/06/2567,19:00,2.65
30/06/2567,18:00,2.25
30/06/2567,17:00,2.02
30/06/2567,16:00,2.16
30/06/2567,15:00,2.3
30/06/2567,14:00,2.53
30/06/2567,13:00,2.64
30/06/2567,12:00,2.72
30/06/2567,11:00,2.88
30/06/2567,10:00,2.68
30/06/2567,9:00,2.43
30/06/2567,8:00,2.23
30/06/2567,7:00,2.02
30/06/2567,6:00,2.07
30/06/2567,5:00,2.25
30/06/2567,4:00,2.47
30/06/2567,3:00,2.83
30/06/2567,2:00,3.28
30/06/2567,1:00,3.63
30/06/2567,0:00,3.88
29/06/2567,23:00,3.97
29/06/2567,22:00,3.79
29/06/2567,21:00,3.49
29/06/2567,20:00,2.99
29/06/2567,19:00,2.49
29/06/2567,18:00,2
29/06/2567,17:00,1.71
29/06/2567,16:00,1.68
29/06/2567,15:00,1.87
29/06/2567,14:00,2.08
29/06/2567,13:00,2.34
29/06/2567,12:00,2.67
29/06/2567,11:00,2.89
29/06/2567,10:00,3.09
29/06/2567,9:00,2.9
29/06/2567,8:00,2.75
29/06/2567,7:00,2.47
29/06/2567,6:00,2.33
29/06/2567,5:00,2.41
29/06/2567,4:00,2.49
29/06/2567,3:00,2.79
29/06/2567,2:00,3.24
29/06/2567,1:00,3.57
29/06/2567,0:00,3.88
28/06/2567,23:00,3.99
28/06/2567,22:00,3.89
28/06/2567,21:00,3.58
28/06/2567,20:00,3.06
28/06/2567,19:00,2.51
28/06/2567,18:00,1.97
28/06/2567,17:00,1.54
28/06/2567,16:00,1.34
28/06/2567,15:00,1.4
28/06/2567,14:00,1.61
28/06/2567,13:00,1.85
28/06/2567,12:00,2.22
28/06/2567,11:00,2.49
28/06/2567,10:00,2.81
28/06/2567,9:00,2.92
28/06/2567,8:00,2.94
28/06/2567,7:00,2.87
28/06/2567,6:00,2.78
28/06/2567,5:00,2.79
28/06/2567,4:00,2.88
28/06/2567,3:00,3.01
28/06/2567,2:00,3.31
28/06/2567,1:00,3.69
28/06/2567,0:00,3.93
27/06/2567,23:00,4.07
27/06/2567,22:00,3.91
27/06/2567,21:00,3.69
27/06/2567,20:00,3.31
27/06/2567,19:00,2.69
27/06/2567,18:00,2.03
27/06/2567,17:00,1.47
27/06/2567,16:00,1.14
27/06/2567,15:00,1.19
27/06/2567,14:00,1.38
27/06/2567,13:00,1.64
27/06/2567,12:00,1.95
27/06/2567,11:00,2.28
27/06/2567,10:00,2.65
27/06/2567,9:00,2.96
27/06/2567,8:00,3.15
27/06/2567,7:00,3.16
27/06/2567,6:00,3.07
27/06/2567,5:00,3.02
27/06/2567,4:00,3.06
27/06/2567,3:00,3.09
27/06/2567,2:00,3.29
27/06/2567,1:00,3.5
27/06/2567,0:00,3.81
26/06/2567,23:00,4.03
26/06/2567,22:00,4.01
26/06/2567,21:00,3.85
26/06/2567,20:00,3.5
26/06/2567,19:00,3.01
26/06/2567,18:00,2.37
26/06/2567,17:00,1.57
26/06/2567,16:00,1.09
26/06/2567,15:00,1.09
26/06/2567,14:00,1.22
26/06/2567,13:00,1.44
26/06/2567,12:00,1.73
26/06/2567,11:00,2.08
26/06/2567,10:00,2.44
26/06/2567,9:00,2.8
26/06/2567,8:00,3.14
26/06/2567,7:00,3.25
26/06/2567,6:00,3.41
26/06/2567,5:00,3.18
26/06/2567,4:00,3.2
26/06/2567,3:00,3.07
26/06/2567,2:00,3.03
26/06/2567,1:00,3.33
26/06/2567,0:00,3.58
25/06/2567,23:00,3.81
25/06/2567,22:00,4.11
25/06/2567,21:00,3.68
