ds,time,y
31/08/2568,23:00,3
31/08/2568,22:00,3.24
31/08/2568,21:00,3.42
31/08/2568,20:00,3.69
31/08/2568,19:00,3.77
31/08/2568,18:00,3.88
31/08/2568,17:00,3.78
31/08/2568,16:00,3.47
31/08/2568,15:00,3.13
31/08/2568,14:00,2.71
31/08/2568,13:00,2.19
31/08/2568,12:00,1.83
31/08/2568,11:00,1.53
31/08/2568,10:00,1.37
31/08/2568,9:00,1.39
31/08/2568,8:00,1.51
31/08/2568,7:00,1.73
31/08/2568,6:00,1.94
31/08/2568,5:00,2.11
31/08/2568,4:00,2.44
31/08/2568,3:00,2.65
31/08/2568,2:00,2.75
31/08/2568,1:00,2.95
31/08/2568,0:00,3.05
30/08/2568,23:00,3.16
30/08/2568,22:00,3.42
30/08/2568,21:00,3.51
30/08/2568,20:00,3.7
30/08/2568,19:00,3.92
30/08/2568,18:00,3.91
30/08/2568,17:00,3.97
30/08/2568,16:00,3.81
30/08/2568,15:00,3.55
30/08/2568,14:00,3.23
30/08/2568,13:00,2.78
30/08/2568,12:00,2.43
30/08/2568,11:00,2.12
30/08/2568,10:00,1.69
30/08/2568,9:00,1.53
30/08/2568,8:00,1.36
30/08/2568,7:00,1.5
30/08/2568,6:00,1.65
30/08/2568,5:00,1.77
30/08/2568,4:00,1.97
30/08/2568,3:00,2.32
30/08/2568,2:00,2.64
30/08/2568,1:00,2.77
30/08/2568,0:00,3.07
29/08/2568,23:00,3.13
29/08/2568,22:00,3.34
29/08/2568,21:00,3.4
29/08/2568,20:00,3.5
29/08/2568,19:00,3.6
29/08/2568,18:00,3.81
29/08/2568,17:00,3.76
29/08/2568,16:00,3.71
29/08/2568,15:00,3.49
29/08/2568,14:00,3.36
29/08/2568,13:00,3.09
29/08/2568,12:00,2.82
29/08/2568,11:00,2.45
29/08/2568,10:00,2
29/08/2568,9:00,1.73
29/08/2568,8:00,1.37
29/08/2568,7:00,1.28
29/08/2568,6:00,1.18
29/08/2568,5:00,1.33
29/08/2568,4:00,1.53
29/08/2568,3:00,1.83
29/08/2568,2:00,2.14
29/08/2568,1:00,2.53
29/08/2568,0:00,2.95
28/08/2568,23:00,3.14
28/08/2568,22:00,3.36
28/08/2568,21:00,3.35
28/08/2568,20:00,3.44
28/08/2568,19:00,3.33
28/08/2568,18:00,3.47
28/08/2568,17:00,3.52
28/08/2568,16:00,3.51
28/08/2568,15:00,3.5
28/08/2568,14:00,3.55
28/08/2568,13:00,3.47
28/08/2568,12:00,3.32
28/08/2568,11:00,2.97
28/08/2568,10:00,2.58
28/08/2568,9:00,2.32
28/08/2568,8:00,1.78
28/08/2568,7:00,1.34
28/08/2568,6:00,1.21
28/08/2568,5:00,1.34
28/08/2568,4:00,1.52
28/08/2568,3:00,1.81
28/08/2568,2:00,2.08
28/08/2568,1:00,2.73
28/08/2568,0:00,3.37
27/08/2568,23:00,3.46
27/08/2568,22:00,3.6
27/08/2568,21:00,3.72
27/08/2568,20:00,3.65
27/08/2568,19:00,3.51
27/08/2568,18:00,3.42
27/08/2568,17:00,3.26
27/08/2568,16:00,3.18
27/08/2568,15:00,3.33
27/08/2568,14:00,3.45
27/08/2568,13:00,3.46
27/08/2568,12:00,3.42
27/08/2568,11:00,3.3
27/08/2568,10:00,3.1
27/08/2568,9:00,2.72
27/08/2568,8:00,2.23
27/08/2568,7:00,1.7
27/08/2568,6:00,1.27
27/08/2568,5:00,1.18
27/08/2568,4:00,1.32
27/08/2568,3:00,1.56
27/08/2568,2:00,1.9
27/08/2568,1:00,2.35
27/08/2568,0:00,2.82
26/08/2568,23:00,3.27
26/08/2568,22:00,3.59
26/08/2568,21:00,3.74
26/08/2568,20:00,3.79
26/08/2568,19:00,3.45
26/08/2568,18:00,3.12
26/08/2568,17:00,2.84
26/08/2568,16:00,2.63
26/08/2568,15:00,2.61
26/08/2568,14:00,2.69
26/08/2568,13:00,2.95
26/08/2568,12:00,3.22
26/08/2568,11:00,3.37
26/08/2568,10:00,3.34
26/08/2568,9:00,3.21
26/08/2568,8:00,2.85
26/08/2568,7:00,2.31
26/08/2568,6:00,1.73
26/08/2568,5:00,1.31
26/08/2568,4:00,1.27
26/08/2568,3:00,1.43
26/08/2568,2:00,1.74
26/08/2568,1:00,2.13
26/08/2568,0:00,2.66
25/08/2568,23:00,3.22
25/08/2568,22:00,3.6
25/08/2568,21:00,3.91
25/08/2568,20:00,3.96
25/08/2568,19:00,3.76
25/08/2568,18:00,3.37
25/08/2568,17:00,2.85
25/08/2568,16:00,2.29
25/08/2568,15:00,2.15
25/08/2568,14:00,2.2
25/08/2568,13:00,2.48
25/08/2568,12:00,2.9
25/08/2568,11:00,3.2
25/08/2568,10:00,3.46
25/08/2568,9:00,3.5
25/08/2568,8:00,3.36
25/08/2568,7:00,2.94
25/08/2568,6:00,2.41
25/08/2568,5:00,1.75
25/08/2568,4:00,1.38
25/08/2568,3:00,1.51
25/08/2568,2:00,1.74
25/08/2568,1:00,2.1
25/08/2568,0:00,2.6
24/08/2568,23:00,3.19
24/08/2568,22:00,3.63
24/08/2568,21:00,3.99
24/08/2568,20:00,3.99
24/08/2568,19:00,3.75
24/08/2568,18:00,3.18
24/08/2568,17:00,2.59
24/08/2568,16:00,1.94
24/08/2568,15:00,1.63
24/08/2568,14:00,1.67
24/08/2568,13:00,1.91
24/08/2568,12:00,2.33
24/08/2568,11:00,2.81
24/08/2568,10:00,3.21
24/08/2568,9:00,3.47
24/08/2568,8:00,3.57
24/08/2568,7:00,3.34
24/08/2568,6:00,2.91
24/08/2568,5:00,2.33
24/08/2568,4:00,1.8
24/08/2568,3:00,1.71
24/08/2568,2:00,1.89
24/08/2568,1:00,2.15
24/08/2568,0:00,2.57
23/08/2568,23:00,3.13
23/08/2568,22:00,3.65
23/08/2568,21:00,3.98
23/08/2568,20:00,4.01
23/08/2568,19:00,3.89
23/08/2568,18:00,3.51
23/08/2568,17:00,2.83
23/08/2568,16:00,2.19
23/08/2568,15:00,1.52
23/08/2568,14:00,1.47
23/08/2568,13:00,1.63
23/08/2568,12:00,1.9
23/08/2568,11:00,2.32
23/08/2568,10:00,2.93
23/08/2568,9:00,3.43
23/08/2568,8:00,3.69
23/08/2568,7:00,3.79
23/08/2568,6:00,3.54
23/08/2568,5:00,3.26
23/08/2568,4:00,2.75
23/08/2568,3:00,2.45
23/08/2568,2:00,2.41
23/08/2568,1:00,2.53
